nazmultakbir@gmail.com,Nazmul,23,8801712210000,12345678,12345678,Registration Successful! Please Login
nazmultakbir@gmail.com,Saif,23,8801710000000,12345678,12345678,email already in use!
saifahmedkhan@gmail.com,Takbir,2,8801710000000,12345678,12345678,Value must be greater than or equal to 5
saifahmedkhan@gmail.com,Saif,200,8801710000000,12345678,12345678,Value must be less than or equal to 100
saifahmedkhan@gmail.com,Ahmed,23,8801712210000,12345678,12345678,phone number already in use!
nazmultakbir@gmail.com,Khan,23,8801350000220,12345678,99892134,passwords do not match !
saifahmedkhan,Khan,23,8801350000000,12345678,12345678,please include an '@' in the email address
,Khan,23,8801350000000,12345678,12345678,Please fill out this field
nazmultakbir@gmail.com,,23,8801350000000,12345678,12345678,Please fill out this field
saifahmedkhan@gmail.com,Takbir,,8801350000000,12345678,12345678,Please fill out this field
saifahmedkhan@gmail.com,Khan,23,,12345678,12345678,Please fill out this field
saifahmedkhan@gmail.com,Khan,23,8801350000000,,12345678,Please fill out this field
nazmultakbir@gmail.com,Takbir,23,8801350000000,12345678,,Please fill out this field
nazmultakbir@gmail.com,Khan,23,101,12345678,12345678,Value must be greater than or equal to 8801100000000
saifahmedkhan@gmail.com,Khan,23,88021300000000000,12345678,12345678,Value must be less than or equal to 8801999999999
nazmultakbir@gmail.com,Nazmul,23,8801710000000,1234,1234,password must be at least 8 characters long
